"Abort","Abbrechen"
"Actions","Aktionen"
"Active rollout","Aktives Rollout"
"Adopt","Übernehmen"
"Back to overview","Zurück zur Übersicht"
"current alias","aktueller Alias"
"current","aktuell"
"Current alias?","Aktueller Alias?"
"Delete","Löschen"
"Disables the TARGET index's Elasticsearch refresh interval and replicas for the duration of the bulk load only, then restores both -- speeds up loading a large catalog. This does NOT pause or skip anything on the live index: search stays fully up to date the whole time, and the mirror queue keeps capturing live updates as normal regardless of this checkbox.","Deaktiviert für die Dauer des Bulk-Ladevorgangs nur das Refresh-Intervall und die Replikate des ZIEL-Index und stellt beides danach wieder her -- beschleunigt das Laden eines großen Katalogs. Dies pausiert oder überspringt NICHTS am Live-Index: Die Suche bleibt die ganze Zeit vollständig aktuell, und die Mirror-Queue erfasst weiterhin live Aktualisierungen wie gewohnt, unabhängig von dieser Checkbox."
"Docs (expected / actual)","Dokumente (erwartet / tatsächlich)"
"Docs","Dokumente"
"Finished","Beendet"
"Flip below switches live traffic onto this index","Der Flip unten schaltet den Live-Traffic auf diesen Index um"
"Flip to this index","Auf diesen Index umschalten"
"Flip","Umschalten"
"Index status","Index-Status"
"Index","Index"
"Last event","Letztes Ereignis"
"Mapping diff","Mapping-Unterschied"
"No physical index exists for this scope yet.","Für diesen Bereich existiert noch kein physischer Index."
"No rollout has been recorded for this scope yet.","Für diesen Bereich wurde noch kein Rollout aufgezeichnet."
"Outcome","Ergebnis"
"Rebuild","Neu aufbauen"
"replaced","ersetzt"
"Roll back to this index","Auf diesen Index zurücksetzen"
"Rollout history","Rollout-Verlauf"
"Rollout status","Rollout-Status"
"Search Index Alias","Search Index Alias"
"Select a source and a store above to manage its indices.","Wählen Sie oben eine Quelle und einen Store aus, um deren Indizes zu verwalten."
"Select a source","Quelle auswählen"
"Select a store","Store auswählen"
"skipped","übersprungen"
"Source","Quelle"
"Started","Gestartet"
"Status","Status"
"Store","Store"
"target","Ziel"
"Target index","Ziel-Index"
"Triggered by","Ausgelöst von"
"unknown","unbekannt"
"View rollout history","Rollout-Verlauf anzeigen"
