"Abort","Abort"
"Actions","Actions"
"Active rollout","Active rollout"
"Adopt","Adopt"
"Back to overview","Back to overview"
"current alias","current alias"
"current","current"
"Current alias?","Current alias?"
"Delete","Delete"
"Disables the TARGET index's Elasticsearch refresh interval and replicas for the duration of the bulk load only, then restores both -- speeds up loading a large catalog. This does NOT pause or skip anything on the live index: search stays fully up to date the whole time, and the mirror queue keeps capturing live updates as normal regardless of this checkbox.","Disables the TARGET index's Elasticsearch refresh interval and replicas for the duration of the bulk load only, then restores both -- speeds up loading a large catalog. This does NOT pause or skip anything on the live index: search stays fully up to date the whole time, and the mirror queue keeps capturing live updates as normal regardless of this checkbox."
"Docs (expected / actual)","Docs (expected / actual)"
"Docs","Docs"
"Finished","Finished"
"Flip below switches live traffic onto this index","Flip below switches live traffic onto this index"
"Flip to this index","Flip to this index"
"Flip","Flip"
"Index status","Index status"
"Index","Index"
"Last event","Last event"
"Mapping diff","Mapping diff"
"No physical index exists for this scope yet.","No physical index exists for this scope yet."
"No rollout has been recorded for this scope yet.","No rollout has been recorded for this scope yet."
"Outcome","Outcome"
"Rebuild","Rebuild"
"replaced","replaced"
"Roll back to this index","Roll back to this index"
"Rollout history","Rollout history"
"Rollout status","Rollout status"
"Search Index Alias","Search Index Alias"
"Select a source and a store above to manage its indices.","Select a source and a store above to manage its indices."
"Select a source","Select a source"
"Select a store","Select a store"
"skipped","skipped"
"Source","Source"
"Started","Started"
"Status","Status"
"Store","Store"
"target","target"
"Target index","Target index"
"Triggered by","Triggered by"
"unknown","unknown"
"View rollout history","View rollout history"
"Pending deploy flips","Pending deploy flips"
"What search-index-alias:deploy-flip -- the command the deploy pipeline's SPRYKER_HOOK_AFTER_DEPLOY hook runs -- would flip right now. Cross-scope; not affected by the Source/Store filter below.","What search-index-alias:deploy-flip -- the command the deploy pipeline's SPRYKER_HOOK_AFTER_DEPLOY hook runs -- would flip right now. Cross-scope; not affected by the Source/Store filter below."
"docs","docs"
"No scope is flagged -- the next deploy would flip nothing.","No scope is flagged -- the next deploy would flip nothing."
"flagged for next deploy","flagged for next deploy"
"Do not flip now -- flag this index so search-index-alias:deploy-flip flips it automatically the next time the deploy pipeline runs (SPRYKER_HOOK_AFTER_DEPLOY).","Do not flip now -- flag this index so search-index-alias:deploy-flip flips it automatically the next time the deploy pipeline runs (SPRYKER_HOOK_AFTER_DEPLOY)."
"Flag for next deploy","Flag for next deploy"
"Unflag","Unflag"
"Do not switch now -- flag this index so search-index-alias:deploy-flip switches to it automatically the next time the deploy pipeline runs (SPRYKER_HOOK_AFTER_DEPLOY).","Do not switch now -- flag this index so search-index-alias:deploy-flip switches to it automatically the next time the deploy pipeline runs (SPRYKER_HOOK_AFTER_DEPLOY)."
"Deleted indices","Deleted indices"
"Manual deletes (Overview page) and search-index-alias:prune -- a separate feed from rollout attempts above, since deleting an old backup index is not itself a rollout.","Manual deletes (Overview page) and search-index-alias:prune -- a separate feed from rollout attempts above, since deleting an old backup index is not itself a rollout."
"Deleted at","Deleted at"
"No index has been deleted for this scope yet.","No index has been deleted for this scope yet."
"The target of this scope's active rollout -- Delete is disabled here so it can't be pulled out from under a pending flip.","The target of this scope's active rollout -- Delete is disabled here so it can't be pulled out from under a pending flip."
"active rollout target","active rollout target"
